Province,AKP(%),CHP(%),DEM(%),MHP(%),YRP(%),IYIP(%),ZAFER(%)
Kirklareli, 34.98, 38.09, 0.70, 24.36, 0.00, 0.00, 0.00
Edirne, 29.95, 36.85, 1.12, 18.3, 1.74, 0.00, 0.00
Tekirdag, 37.12, 45.75, 1.72, 12.66, 0.57, 0.00, 0.00
Istanbul, 47.95, 40.08, 4.84, 3.97, 1.98, 0.00, 0.00
Kocaeli, 50.59, 26.15, 2.36, 14.04, 4.96, 0.00, 0.00
Sakarya, 57.89, 9.24, 0.81, 26.78, 3.07, 0.00, 0.00
Bursa, 49.52, 28.74, 1.67, 15.35, 2.07, 0.00, 0.00
Bilecik, 39.63, 27.85, 0.00, 30.38, 1.52, 0.00, 0.00
Balikesir, 39.74, 25.30, 0.80, 31.62, 1.05, 0.00, 0.00
Canakkale, 35.88, 54.35, 1.12, 7.35, 0.41, 0.00, 0.00
Duzce, 54.52, 3.96, 0.53, 37.65, 2.24, 0.00, 0.00
Bolu, 49.57, 37.71, 0.38, 9.94, 1.76, 0.00, 0.00
Zonguldak, 38.75, 39.91, 0.27, 17.74, 1.83, 0.00, 0.00
Bartin, 26.67, 24.55, 0.00, 45.85, 2.30, 0.00, 0.00
Kastamonu, 45.72, 7.18, 0.17, 45.34, 0.67, 0.00, 0.00
Karabuk, 42.76, 2.61, 0.00, 51.81, 2.17, 0.00, 0.00
Cankiri, 54.26, 1.32, 0.00, 41.67, 1.00, 0.00, 0.00
Corum, 50.81, 34.38, 0.34, 11.77, 1.21, 0.00, 0.00
Sinop, 37.38, 54.33, 0.00, 6.30, 1.25, 0.00, 0.00
Amasya, 43.45, 16.71, 0.26, 36.37, 2.71, 0.00, 0.00
Samsun, 54.83, 15.87, 0.20, 25.21, 1.79, 0.00, 0.00
Eskisehir, 39.05, 45.24, 0.66, 11.19, 0.88, 0.00, 0.00
Ankara, 44.81, 43.81, 0.87, 7.77, 0.48, 0.00, 0.00
Kirikkale, 44.29, 2.70, 0.00, 29.96, 20.33, 0.00, 0.00
Kirsehir, 42.17, 23.40, 1.84, 30.95, 0.68, 0.00, 0.00
Nevsehir, 52.45, 1.86, 0.25, 42.69, 1.61, 0.00, 0.00
Kutahya, 48.94, 1.62, 0.00, 46.14, 2.42, 0.00, 0.00
Manisa, 36.71, 18.27, 2.46, 40.1, 0.76, 0.00, 0.00
Izmir, 35.92, 49.59, 3.36, 7.97, 0.52, 0.00, 0.00
Afyonkarahisar, 49.31, 5.25, 0.00, 42.65, 1.12, 0.00, 0.00
Denizli, 45.20, 38.77, 1.04, 1.04, 11.84, 0.00, 0.00
Usak, 43.23, 22.83, 0.68, 31.00, 0.00, 0.00, 0.00
Aydin, 29.15, 43.79, 3.11, 21.54, 0.37, 0.00, 0.00
Mugla, 28.97, 49.11, 1.56, 18.01, 0.37, 0.00, 0.00
Burdur, 35.26, 44.39, 0.34, 17.39, 1.13, 0.00, 0.00
Antalya, 34.63, 36.41, 2.30, 24.34, 0.52, 0.00, 0.00
Isparta, 39.96, 9.98, 0.58, 44.52, 2.96, 0.00, 0.00
Konya, 64.26, 5.74, 1.94, 18.45, 7.47, 0.00, 0.00
Karaman, 52.33, 14.46, 0.00, 26.56, 5.57, 0.00, 0.00
Aksaray, 56.98, 6.51, 0.00, 34.27, 1.86, 0.00, 0.00
Nigde, 41.06, 20.74, 0.52, 34.34, 1.88, 0.00, 0.00
