City,AKP(%),CHP(%),DEM(%),MHP(%),YRP(%),IYIP(%),ZAFER(%)
Kirklareli, 5.94, 40.71, 0.68, 41.50, 0.48, 5.77, 1.16
Edirne, 42.49, 46.67, 1.00, 0.00, 0.34, 5.44, 1.94
Tekirdag, 35.59, 50.26, 3.52, 0.00, 3.38, 3.09, 2.05
Istanbul, 39.59, 51.14, 2.12, 0.00, 2.61, 0.93, 2.13
Kocaeli, 45.83, 28.97, 3.26, 0.00, 7.60, 5.01, 3.45
Sakarya, 47.19, 16.46, 0.90, 0.00, 12.74, 3.98, 3.09
Bursa, 38.35, 47.62, 1.63, 0.00, 4.94, 2.27, 2.15
Bilecik, 34.54, 48.88, 0.80, 0.00, 7.21, 2.86, 1.56
Balikesir, 40.54, 51.10, 0.85, 0.00, 2.09, 3.05, 0.87
Canakkale, 18.27, 39.70, 1.68, 0.11, 0.36, 36.89, 1.48
Duzce, 40.22, 13.37, 0.59, 4.09, 29.77, 6.13, 1.57
Bolu, 28.84, 52.90, 0.61, 12.13, 2.17, 0.89, 0.59
Zonguldak, 37.60, 54.52, 0.11, 0.00, 2.78, 0.88, 1.35
Bartin, 0.00, 51.29, 0.20, 36.61, 4.62, 2.71, 2.13
Kastamonu, 36.15, 49.17, 0.10, 6.90, 3.08, 0.81, 1.10
Karabuk, 33.71, 11.09, 0.21, 26.28, 22.81, 1.16, 1.76
Cankiri, 31.22, 2.69, 0.09, 59.80, 1.90, 1.93, 0.55
Corum, 40.55, 36.98, 0.20, 0.00, 14.46, 1.72, 2.09
Sinop, 39.41, 49.36, 0.15, 0.00, 2.07, 4.89, 1.07
Amasya, 28.96, 43.03, 0.06, 23.00, 2.29, 0.68, 0.73
Samsun, 42.17, 27.01, 0.14, 0.00, 12.53, 14.12, 1.49
Eskisehir, 37.85, 51.03, 0.88, 0.00, 1.95, 3.59, 2.47
Ankara, 31.68, 60.44, 0.80, 0.00, 3.13, 0.91, 1.51
Kirikkale, 23.17, 49.90, 0.08, 19.15, 3.74, 1.23, 0.68
Kirsehir, 37.42, 52.86, 1.23, 0.00, 2.50, 2.82, 1.28
Nevsehir, 34.50, 3.24, 0.22, 6.25, 1.68, 52.03, 0.96
Kutahya, 27.71, 29.68, 0.14, 29.25, 8.08, 1.85, 1.12
Manisa, 0.00, 57.26, 0.00, 29.78, 3.53, 4.91, 1.02
Izmir, 37.06, 48.97, 4.19, 0.00, 0.93, 3.64, 2.52
Afyonkarahisar, 31.82, 50.73, 0.15, 10.87, 2.12, 1.56, 0.66
Denizli, 38.88, 48.12, 1.14, 0.00, 2.84, 4.63, 1.65
Usak, 24.31, 40.89, 0.55, 12.60, 1.67, 16.76, 0.68
Aydin, 36.72, 50.53, 3.42, 0.00, 1.01, 4.27, 1.62
Mugla, 32.69, 55.01, 1.83, 0.00, 1.13, 5.69, 1.77
Burdur, 42.90, 46.28, 0.38, 0.00, 1.65, 3.36, 2.60
Antalya, 40.03, 48.71, 3.11, 0.00, 1.18, 2.68, 1.66
Isparta, 41.95, 21.11, 0.45, 10.11, 2.32, 17.68, 4.09
Konya, 49.44, 12.77, 1.79, 0.00, 23.48, 2.95, 3.39
Karaman, 24.05, 18.02, 0.18, 49.24, 3.85, 1.11, 1.22
Aksaray, 36.85, 7.79, 0.28, 28.72, 2.42, 20.29, 0.95
Nigde, 36.23, 25.59, 0.19, 19.06, 4.13, 11.62, 1.09
Adana, 37.43, 46.57, 5.60, 0.00, 1.87, 4.26, 1.42
Kayseri, 38.61, 14.33, 0.59, 0.00, 19.74, 14.39, 3.73
Yozgat, 26.81, 2.13, 0.13, 29.78, 36.33, 1.70, 0.53
Ordu, 40.07, 16.58, 0.10, 0.00, 3.80, 36.53, 0.76
Tokat, 30.18, 9.36, 0.12, 54.86, 1.86, 1.29, 0.00
Sivas, 43.31, 8.54, 0.12, 40.39, 3.10, 0.90, 1.20
Kahramanmaras, 42.41, 15.22, 0.55, 0.24, 33.42, 3.50, 1.48
Osmaniye, 0.00, 21.80, 2.60, 39.80, 0.00, 23.72, 3.91
Hatay, 44.48, 44.05, 1.08, 0.00, 2.02, 1.81, 1.28
Gaziantep, 38.83, 28.12, 5.47, 0.00, 17.23, 1.72, 2.56
Kilis, 27.28, 41.98, 0.24, 23.74, 2.25, 1.23, 1.00
Giresun, 37.62, 54.56, 0.05, 0.00, 2.66, 1.34, 1.11
Gumushane, 38.20, 13.36, 0.14, 41.62, 1.67, 1.24, 0.50
Bayburt, 39.08, 4.33, 0.24, 37.88, 8.00, 1.29, 1.30
Trabzon, 51.48, 28.46, 0.17, 0.00, 9.14, 4.23, 1.64
Erzincan, 29.24, 21.08, 0.45, 40.45, 1.96, 1.61, 1.39
Rize, 54.70, 12.14, 0.18, 0.00, 17.75, 6.45, 2.12
Erzurum, 50.42, 6.52, 7.80, 0.00, 0.00, 22.18, 5.11
Artvin, 43.74, 45.22, 0.17, 0.00, 1.88, 6.02, 0.92
Ardahan, 43.51, 45.06, 6.71, 0.00, 1.12, 0.62, 0.00
Kars, 0.00, 17.24, 28.98, 36.20, 3.57, 9.19, 0.00
Malatya, 48.97, 37.28, 0.54, 0.00, 9.38, 0.51, 0.39
Adiyaman, 27.43, 49.74, 2.66, 0.48, 13.74, 0.81, 0.20
Sanliurfa, 33.64, 1.51, 21.16, 0.00, 38.87, 0.51, 0.31
Tunceli, 13.34, 33.33, 40.22, 0.00, 0.64, 0.67, 0.92
Elazig, 38.19, 16.49, 2.33, 10.92, 21.14, 0.58, 1.03
Bingol, 33.69, 2.35, 25.85, 0.00, 21.22, 0.36, 0.74
Igdir, 42.23, 2.88, 46.70, 0.00, 1.24, 4.48, 0.48
Agri, 33.70, 2.57, 51.07, 0.00, 4.71, 1.03, 1.47
Mus, 25.27, 1.53, 42.88, 0.00, 12.85, 4.61, 0.42
Diyarbakir, 16.83, 3.49, 64.09, 0.00, 3.69, 0.43, 0.52
Mardin, 27.78, 2.50, 57.40, 0.00, 4.48, 0.61, 0.55
Batman, 28.11, 1.80, 64.52, 0.00, 1.50, 0.37, 0.44
Van, 27.15, 2.69, 55.48, 0.00, 5.37, 0.63, 0.76
Bitlis, 38.23, 2.06, 37.38, 0.00, 7.67, 1.44, 1.02
Siirt, 37.14, 1.91, 49.64, 0.00, 2.47, 0.67, 1.62
Sirnak, 47.58, 4.03, 41.04, 0.00, 3.32, 0.00, 0.00
Hakkari, 46.58, 1.43, 48.92, 0.00, 0.75, 0.42, 0.73
Yalova, 40.35, 46.39, 3.08, 0.00, 2.52, 1.59, 1.95
Mersin, 0.00, 59.52, 0.00, 31.04, 1.17, 3.45, 1.06
